Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
MT438730,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA: CA,Homo sapiens,,4/22/2020
MT438731,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,USA: CA,Homo sapiens,,4/22/2020
MT438732,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,USA: CA,Homo sapiens,,4/22/2020
MT438733,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,4/22/2020
MT438734,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens,,4/22/2020
MT438735,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,4/22/2020
MT438736,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,4/22/2020
MT438737,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA: CA,Homo sapiens,,4/22/2020
MT438738,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens,,4/22/2020
MT438739,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,USA: CA,Homo sapiens,,4/22/2020
MT438740,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,4/22/2020
MT438741,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,USA: CA,Homo sapiens,,4/22/2020
MT438742,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens,,4/22/2020
MT438743,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens,,4/22/2020
MT438744,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens,,4/22/2020
MT438745,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29839,USA: CA,Homo sapiens,,4/22/2020
MT438746,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29885,USA: CA,Homo sapiens,,4/22/2020
MT438747,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: CA,Homo sapiens,,4/22/2020
MT438748,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens,,4/22/2020
MT438749,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,4/22/2020
MT438750,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,4/22/2020
MT438751,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens,,4/22/2020
MT438752,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: CA,Homo sapiens,,4/22/2020
MT438753,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens,,4/22/2020
MT438754,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: CA,Homo sapiens,,4/22/2020
MT438755,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: CA,Homo sapiens,,4/22/2020
MT438756,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens,,4/22/2020
MT438757,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens,,4/22/2020
MT438758,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens,,4/22/2020
MT438759,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,USA: CA,Homo sapiens,,4/22/2020
MT438760,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens,,4/22/2020
MT439230,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/10/2020
MT439231,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/10/2020
MT439232,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens,swab,3/10/2020
MT439233,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/10/2020
MT439234,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: MI,Homo sapiens,swab,3/11/2020
MT439235,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29783,USA: MI,Homo sapiens,swab,3/11/2020
MT439236,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: MI,Homo sapiens,swab,3/12/2020
MT439237,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,USA: MI,Homo sapiens,swab,3/12/2020
MT439238,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,USA: MI,Homo sapiens,swab,3/13/2020
MT439239,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/12/2020
MT439240,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: MI,Homo sapiens,swab,3/13/2020
MT439241,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: MI,Homo sapiens,swab,3/13/2020
MT439242,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: MI,Homo sapiens,swab,3/14/2020
MT439243,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,USA: MI,Homo sapiens,swab,3/13/2020
MT439244,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,USA: MI,Homo sapiens,swab,3/13/2020
MT439245,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: MI,Homo sapiens,swab,3/13/2020
MT439246,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,USA: MI,Homo sapiens,swab,3/14/2020
MT439247,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/16/2020
MT439248,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29769,USA: MI,Homo sapiens,swab,3/16/2020
MT439249,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens,swab,3/17/2020
MT439250,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens,swab,3/17/2020
MT439251,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens,swab,3/19/2020
MT439252,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens,swab,3/18/2020
MT439253,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: MI,Homo sapiens,swab,3/17/2020
MT439254,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,USA: MI,Homo sapiens,swab,3/18/2020
MT439255,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: MI,Homo sapiens,swab,3/19/2020
MT439256,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/19/2020
MT439257,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: MI,Homo sapiens,swab,3/20/2020
MT439258,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,USA: MI,Homo sapiens,swab,3/16/2020
MT439259,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,USA: MI,Homo sapiens,swab,3/22/2020
MT439260,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29821,USA: MI,Homo sapiens,swab,3/21/2020
MT439261,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,USA: MI,Homo sapiens,swab,3/23/2020
MT439262,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens,swab,3/23/2020
MT439263,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: MI,Homo sapiens,swab,3/20/2020
MT439264,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA: MI,Homo sapiens,swab,3/22/2020
MT439265,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,USA: MI,Homo sapiens,swab,3/18/2020
MT439266,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA: MI,Homo sapiens,swab,3/23/2020
MT439267,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,USA: MI,Homo sapiens,swab,3/23/2020
MT439268,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens,swab,3/22/2020
MT439269,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: MI,Homo sapiens,swab,3/23/2020
MT439270,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens,swab,3/23/2020
MT439271,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,USA: MI,Homo sapiens,swab,3/22/2020
MT439272,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: MI,Homo sapiens,swab,3/23/2020
MT439273,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: MI,Homo sapiens,swab,3/24/2020
MT439274,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: MI,Homo sapiens,swab,3/24/2020
MT439275,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: MI,Homo sapiens,swab,3/24/2020
MT439276,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,USA: MI,Homo sapiens,swab,3/24/2020
MT439277,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: MI,Homo sapiens,swab,3/24/2020
MT439278,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA: MI,Homo sapiens,swab,3/24/2020
MT439279,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/24/2020
MT439280,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,USA: MI,Homo sapiens,swab,3/23/2020
MT439281,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/23/2020
MT439282,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,USA: MI,Homo sapiens,swab,3/22/2020
MT439283,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,USA: MI,Homo sapiens,swab,3/24/2020
MT439284,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/24/2020
MT439285,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: MI,Homo sapiens,swab,3/24/2020
MT439286,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,USA: MI,Homo sapiens,swab,3/24/2020
MT439287,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,USA: MI,Homo sapiens,swab,3/24/2020
MT439288,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: MI,Homo sapiens,swab,3/25/2020
MT439289,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,USA: MI,Homo sapiens,swab,3/25/2020
MT439290,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,USA: MI,Homo sapiens,swab,3/25/2020
MT439291,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/25/2020
MT439292,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/25/2020
MT439293,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,USA: MI,Homo sapiens,swab,3/24/2020
MT439294,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,USA: MI,Homo sapiens,swab,3/26/2020
MT439295,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,USA: MI,Homo sapiens,swab,3/26/2020
MT439296,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/24/2020
MT439297,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29795,USA: MI,Homo sapiens,swab,3/24/2020
MT439298,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,USA: MI,Homo sapiens,swab,3/24/2020
MT439299,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: MI,Homo sapiens,swab,3/25/2020
MT439300,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/26/2020
MT439301,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: MI,Homo sapiens,swab,3/25/2020
MT439302,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/25/2020
MT439303,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/26/2020
MT439304,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,USA: MI,Homo sapiens,swab,3/27/2020
MT439305,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,USA: MI,Homo sapiens,swab,3/26/2020
MT439306,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: MI,Homo sapiens,swab,3/27/2020
MT439307,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,USA: MI,Homo sapiens,swab,3/27/2020
MT439308,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: MI,Homo sapiens,swab,3/27/2020
MT439309,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/28/2020
MT439310,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: MI,Homo sapiens,swab,3/27/2020
MT439311,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,USA: MI,Homo sapiens,swab,3/27/2020
MT439312,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens,swab,3/27/2020
MT439313,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: MI,Homo sapiens,swab,3/27/2020
MT439314,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: MI,Homo sapiens,swab,3/27/2020
MT439315,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/27/2020
MT439316,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/27/2020
MT439317,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens,swab,3/26/2020
MT439318,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: MI,Homo sapiens,swab,3/27/2020
MT439319,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: MI,Homo sapiens,swab,3/28/2020
MT439320,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29826,USA: MI,Homo sapiens,swab,3/30/2020
MT439595,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,India,Homo sapiens,,4/24/2020
MT439596,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,India,Homo sapiens,oronasopharynx,4/24/2020
MT439597,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,India,Homo sapiens,,4/23/2020
MT434757,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,India,Homo sapiens,,4/21/2020
MT434758,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29811,India,Homo sapiens,,4/23/2020
MT434759,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29827,India,Homo sapiens,,4/17/2020
MT434760,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,India,Homo sapiens,,4/17/2020
MT434782,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/5/2020
MT434783,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434784,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434785,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/17/2020
MT434786,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/4/2020
MT434787,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434788,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434789,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434790,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/17/2020
MT434791,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/17/2020
MT434792,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/17/2020
MT434793,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434794,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/8/2020
MT434795,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434796,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434797,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/17/2020
MT434798,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434799,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434800,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434801,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434802,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/13/2020
MT434803,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/17/2020
MT434804,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/17/2020
MT434805,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/10/2020
MT434806,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/10/2020
MT434807,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434808,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/19/2020
MT434809,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/19/2020
MT434810,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/18/2020
MT434811,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/17/2020
MT434812,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/19/2020
MT434813,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/2/2020
MT434814,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434815,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: NY,Homo sapiens,oronasopharynx,3/9/2020
MT434816,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29879,USA: NY,Homo sapiens,oronasopharynx,3/8/2020
MT434817,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: NY,Homo sapiens,oronasopharynx,3/19/2020
MT434818,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,3822,Serbia,Homo sapiens,,4/4/2020
MT435079,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/13/2020
MT435080,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/13/2020
MT435081,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/13/2020
MT435082,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/13/2020
MT435083,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/7/2020
MT435084,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/14/2020
MT435085,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Gandhinagar,Homo sapiens,,4/22/2020
MT435086,2020-05-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Mansa,Homo sapiens,,4/21/2020
MT365028,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,Hong Kong,Homo sapiens,,1/24/2020
MT365029,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,Hong Kong,Homo sapiens,,1/30/2020
MT365030,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,Hong Kong,Homo sapiens,,1/31/2020
MT365031,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,Hong Kong,Homo sapiens,,2/2/2020
MT365032,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,Hong Kong,Homo sapiens,"saliva, oronasopharynx",1/30/2020
MT428551,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,Kazakhstan,Homo sapiens,,3/20/2020
MT428552,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Kazakhstan,Homo sapiens,,3/20/2020
MT428553,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Kazakhstan,Homo sapiens,,3/20/2020
MT428554,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Kazakhstan,Homo sapiens,,3/20/2020
MT429168,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,323,"India: Assam, Golaghat",Homo sapiens,,3/30/2020
MT429183,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,3/26/2020
MT429184,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,4/10/2020
MT429185,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,4/8/2020
MT429186,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,4/12/2020
MT429187,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,4/8/2020
MT429188,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,4/7/2020
MT429189,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,4/8/2020
MT429190,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,4/6/2020
MT429191,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,4/6/2020
MT432195,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29880,"USA: East Feliciana Parish, Louisiana",Homo sapiens,oronasopharynx,4/9/2020
MT318827,2020-05-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,,Homo sapiens,,3/19/2020
MT422806,2020-05-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: FL,Homo sapiens,,3/27/2020
MT422807,2020-05-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: FL,Homo sapiens,,3/27/2020
MT425183,2020-05-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,307,USA,Felis catus,,4/1/2020
MT425184,2020-05-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,307,USA,Felis catus,,4/6/2020
MT215193,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,27871,Hong Kong,Canis lupus familiaris,,2/26/2020
MT215194,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29764,Hong Kong,Homo sapiens,,2/24/2020
MT215195,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29764,Hong Kong,Homo sapiens,,2/25/2020
